Comments,Target
Nice sound....,-1
I got exactly what I ordered,-1
Is ok I love it,-1
"Sound quality is as good as advertised although I would prefer if they finally created an app and also tried ambience 
It would take it to another level 
Aside that it’s a very good choice for music lovers",-1
Service was quick,-1
The effectiveness,-1
Long lasting battery,-1
I'm loving it,-1
Good……..,-1
The sound is magical ✨,-1
It's alright,-1
It’s alright for the price,-1
Really good for the price.,-1
"It lags sometimes when watching online videos or streaming music online but catches up anyway. Everything that is said about the free pods-3 2Baba Edition is true, it actually lasts more than 8 hours. The bass is good, and amazing when watching movies-its like you are in a cinema ????. Thanks Oraimo.",-1
"Everything about this freepods is great like the bass,connectivity and the battery life.The only Issue with this product is that it causes pain in the ear when used for a long time but if not for this i would have rated it 5 Star ???????????????????? perhaps they should try to tend to this issue because it's the only flaw in this great product",-1
It very good,-1
The bass is freakn nice and the battery span is amazing.,-1
"These pods are sooooo comfortable, in both bass and awareness modes. The sound is awesome! And the battery life is amazing!",-1
It’s very nice,-1
Its amazing. The sound is perfect!,-1
The Bass is on point. The battery is dope... nice one Oraimo,-1
Very good for the price!,-1
"The sound is filtered and the bass is superb, the battery last very well too... Worth the price",-1
The mic doesn't work as advertised at all... You literally have to be screaming before the mic catches what you're saying,-1
In one word just go for it,-1
I love it,-1
The bass is top notch and it is durable,-1
It's oraimo,-1
The Bass,-1
Improve the  distance quality on voice calls,-1
"Sound quality, battery life... I just love this product",-1
4 stars cos it could have been better.,-1
good quality. I love it,-1
Best Ear Pod I have used so far,-1
Everything about the freepod 3 is just so perfect...the way the muffs fits to the ear is completely perfect..the sound effects especially the bass is perfect..And pods last very well.. Everything is just so perfect..,-1
"I love it, very nice bass, good connectivity and lasting battery... Very sensitive touch sensor, almost too sensitive sef????",-1
It's superb,-1
Awesome experience so far.,-1
In love how smooth and comfortable they feel. The sound is great too,-1
It's cool,-1
The earpods are super amazing with bass and great quality,-1
Its perfect,-1
Great product.,-1
the sound is good and the battery is fire,-1
Good quality,-1
Great bass,-1
It works beautifully ????????????,-1
It’s perfect,-1
It's a cool and sleek product,-1
I love the product,-1
"It’s really good for the prize. Battery last long, quality is good, sound is good.",-1
"I totally love this. The sound is so clear, it's like a mini speaker in your head. 
Its worth the price.",-1
"As a producer, I am very critical of sound quality. These earbuds are really awesome. Providing quality bass at all levels",-1
The sound can still be better,-1
Works perfectly,-1
Works perfectly,-1
This one quality pass Airpod ❤❤❤,-1
"It's really cool, I use it for recording and it's nice how it remove noise",-1
The fact its removes the surrounding noise and the Bass is Bam,-1
The best of all,-1
"Its like me taking my home theater to work everyday, sooo cool, ear friendly, strong and battery life is dope. But we need a pouch for it, so we won't lose it.",-1
The bass sound is Good.,-1
It a very nice product,-1
Nice sound,-1
"Nice product, buds battery average. Sounds ok",-1
"The awareness mode could be better, asides that, every other thing is ok.",-1
Last long,-1
It's amazing and the battery last long,-1
I love it,-1
Very nice bass and sound but it can’t come t to 2 devices at the same time,-1
The sound is worth the price. In good and working fine.,-1
So good and the noise cancellation feature is superb,-1
A longer USB cable would make it perfect,-1
Works exactly ..  great battery life . Great sound .. very clear voice calls ... Best product ever ..  I love it,-1
"E clear , no wahala",-1
"Excessive bass, poor rubber tips... The rubber tips easily falls off from the ear",-1
I love the bass,-1
I love it,-1
This is a nice device to have. Works perfectly and the sound quality is great.,-1
"It's pretty cool, noise consolation needs to be better",-1
It is mine,-1
It’s a really good device but I miss placed it 3 weeks after purchase.,-1
Nice device but there is room for improvement,-1
It could be better if it has ear sensor,-1
Yes beautiful,-1
Working perfectly,-1
It’s a really awesome device. I enjoyed the use until I lost the case. Very optimal design and experience.,-1
The product is of good quality,-1
It’s wonderful,-1
So nice ????,-1
The sound is amazing and very good battery life too,-1
It's okay for the price range,-1
Perfect bass,-1
"Just buy, period.",-1
Love it bass hit hard ????,-1
Delivers great quality sound,-1
Reduce the price again ????,-1
I love the Odaimo freepod 3. It's worth the price.,-1
"It is an authentic product just as described on jumia.
I scanned the barcode and it confirmed it.",-1
"It's so perfect, and full with bass",-1
The sound,-1
"9.5/10
Pure sound, durable battery life, however 
The rubber cover hurts my ear",-1
The left ear isn’t working,-1
The left ear always drop off and the sound production is low,-1
Packaging is Wow,-1
My wife loves it,-1
It is exactly what is in the description and works well,-1
"Compared to its predecessor, its sound quality and sound authenticity is quite good and budget friendly",-1
"Maybe by actually putting in tips of different sizes and fits, it would be more comfortable, especially to wear for longer periods of time. Other than that, it sounds dope and the quality is superb for the price, the battery last long too, I’d recommend it to anyone who’s looking for a fair price on a great pair of EarPods.",-1
Just reduce the latency and every mobile gamer will want to go for this… still not bad for gaming tho and the bass while listening to music is Jbl rated????????,-1
Its perfect,-1
"Very light weight,Ear friendly, sound filteres & long last battery",-1
"It is good, but I am experiencing little malfunction with the right Earbuds, it disconnects by itself most times",-1
It’s really nice,-1
It has a good production but there are times the called party doesn't hear me and the pod easily falls from the ear.,-1
Device serves its purpose extensively,-1
It’s wonderful and the battery lasts. It’s just that I had to remove the buds before it fit into my ears. It’s amazing,-1
Very excellent,-1
Perfect as reviewed,-1
The quality exceeded my expectations. Fanstastic product,-1
"Product's great... Been using for a while
Good sounding",-1
"The sound quality is great, especially the bass. 
The sleekness and how it perfectly fits my small ear makes it endearing to me.",-1
GREAT! I LIKE IT AND ITS TIMELY ARRIVAL.,-1
"????????
Good",-1
Madt o.. the best so far.. see vibes nau,-1
Very nice,-1
For some reason I can't make calls with it again even tho the mic is still good because I play games and can record vn with it,-1
I like it. But there’s room for improvement. A way of increasing and reducing volume should be added. Thank you,-1
Pretty nice,-1
The sound,-1
Love everything about this pod. Bass is exceptionally superb and sound crystal clear.,-1
"Very comfortable, easy to pair and the bass is awesome.",-1
Is nice an ok,-1
Great sound!,-1
Good product.,-1
I looooove it so much it’s ????,-1
It was everything I expected,-1
"Oraimo did a very good job here. i can make calls, listen to quality sounds with ease. battery lasts longer too",-1
I love it,-1
"definitely worth it for the price, the sound is amazing and better than I expected!!",-1
The Bluetooth connection is not strong,-1
Quality,-1
Works as advertized.,-1
The bass is on point. The beat is rich. It's the best I have used at that price point.,-1
Improve on the sound,-1
Fantastic so far,-1
"I like it though I haven't been able to use the option that selects ""Next song"".",-1
Quality Product,-1
"The base is really nice, it's an improvement of freepod 2",-1
I recommend this to anyone. Battery lasts long. Sound quality is great. It is definitely worth it so far,-1
Great and durable,-1
It's nice great sound long lasting when charge but improve on the color ???? maybe like white etc,-1
I love the sound... I guess this is the first time I'm buying something from Jumia and I feel satisfied with it.,-1
Long lasting power,-1
It's works great as expected. But it pains my ear when i use it for long.,-1
Very nice.... And good sound quality,-1
Everything bam!,-1
I got exactly what I ordered. The sound is on point.,-1
Because it very good sounds and bass,-1
I’ve been charging it since the day I bought it and it’s never fully charged,-1
"It's good, long lasting,  good sound quality and bass, but the two sides no longer connect together on Bluetooth again. It only connects one ear.",-1
Product is just as advertised,-1
"Awesome product, quality sound",-1
Battery longevity,-1
Parfect,-1
Good and nice,-1
ound quality is great. But the complaints about people not hearing you is accurate.  Don’t ignore it. However i think the fox is that both airs have to be out and you have to speak loudly:land clearly,-1
The Oaimo is perfectly good,-1
Very nice,-1
The basssss,-1
This is good.,-1
The Sound is Amazing,-1
"It's just fine ,apart from lasting long nothing special about it",-1
I like it.,-1
"You could make it more comfy to stop falling off, Bt the sound is very nice and it’s worth the purchase",-1
"The sound is amazing, andthe packaging is perfect however, the case is weak and not durable.",-1
The sound is very okay,-1
No complaints,-1
Very okay ????,-1
I like the earpod so much. It is really loud and sounds well,-1
Satisfactory,-1
Awesome ????,-1
This is definitely what I ordered and more!,-1
It’s great with Android and not so great with iPhones,-1
The sound quality is really good for that price range,-1
Good product,-1
It’s everything I expected and more.,-1
"Products is 100% ok and perfect,i  don’t see any faults but you can work on the design on next edition",-1
It’s perfect,-1
Great device,-1
I love it,-1
I love it!,-1
Earpods is as expected. Works fine,-1
perfect,-1
Perfect,-1
An item everyone must have. It's just too good for the price. It's a bang????????,-1
I friend of mine said I should order for him also,-1
Bass is super and the ENC is top notch,-1
The battery life last really long than expected and the sound is perfect,-1
Awesome product ; especially for music,-1
"Product is as described in the picture. I recommend seller, only a little delay in delivery.",-1
Great product,-1
I love it,-1
The sound quality is unbelievable…but I don’t know why both hear stop working at the same time,-1
"The product is satisfactory.
Well packaged.",-1
Perfect fit,-1
It's worth it,-1
"I love the soft tips, and the base is MAD. At least compared to the last version",-1
Works as expected.,-1
Wonderful products,-1
"It’s really nice 
I got what I wanted",-1
It so lovely and nice sounds,-1
Let it have a hook to avoid fall off one's ear.,-1
Good sound,-1
The Item is Good.,-1
It is okay although they can improve the call picking sensitivity as I had to keep tapping twice intermittently before it picks call. Also the requirement to always put the pod into the charging casing in order to reconnect after disconnection is not friendly at all.,-1
Perfecto and has quality sound,-1
"Good quality, crisp sound, great bass",-1
Clear sound quality with great bass. Good battery life. Sensitive audio during calls....no need to shout before being heard from the other end. Certainly worth the price ???? ????,-1
This earbud is very nice and the bass is superb. Cant actually use the full volume cause of my health and safety. The only issue is I would have preferred it a little smaller in size coz I still feel a little pain after some hours,-1
"When i saw the 8 hours music play time, i was initially thinking it was a hype but now that I'm using it, i can conclude that the 8 hrs is an understatement. The bass is also incredible.",-1
I like it,-1
Quality sound. Matches it's price,-1
"It has a good sound, deep bass",-1
"Maybe it's because this is my first, but am loving it.",-1
I love it but just that my ear pains me if the ear piece stays long apart from that I love it,-1
its good,-1
Good product,-1
"Blocks out sound, doesn't let my ear breath but other than that, it's a great buy",-1
"With the way this was advertised you’d think It would at least meet half the features. 

Extremely uncomfortable to wear longer than 30mins

Zero bass unless you smush it all the way into you ears and endure pain

Randomly disconnects 

The only good thing going for this is it’s battery life. 

I do not recommend!
Touch control doesn’t work as it should.",-1
"Nice base, and very good for music, but the microphone is very poor. There's a need for improve on that",-1
Very cool,-1
Is beautiful n sound,-1
Very Nice.,-1
Lovely bass. The very best earbuds,-1
"I love the bass and the long-lasting battery. Though it falls off the ear sometimes, nevertheless it still has a firm stand if fixed properly in the year",-1
Very nice and perfect,-1
The sound production is perfect,-1
The battery lasts all day. Amazing sound. I recommend,-1
Very Quality and I get the value for my money.,-1
Left ear doesn't fit with tendency to fall off while running and within less than a meter it starts to make crackling sounds due to connectivity. Even when charged. Mic picks up surrounding noise and I would still have to raise my voice before I can be completely heard on the other end of the line. It's just aesthetically fancy and averagely works.,-1
The sound is simply out of the world. So impressed with Oraimo on the Freepods 3. Still in doubt? A Trial would convince you.,-1
This is one of the best delivery I've gotten in terms of durability,-1
Easy and convenient,-1
The bass mode is mad,-1
Recommendable,-1
It’s exactly what I ordered,-1
"It's very okay for the price, sound is good",-1
Increase the battery life dats all,-1
Good product,-1
They are great! and the sound? the sound is maad!! it is worth every penny. It also lasts long too asper when its out of the case you can use it for almost a whole day without putting it in the case to charge,-1
Good product,-1
I love it,-1
Been good all round,-1
It's so comfortable and audio is very clear.,-1
Very good,-1
Perfect,-1
It nice and okay,-1
Perfecto,-1
Try making the buds more comfortable.,-1
It's okay,-1
Okay to use,-1
Good purchase,-1
"The sound is really good, though the microphone still needs improvement",-1
Good product,-1
"Highly recommended, super bass, battery last longer than I expected, very comfy for my ears, best call experience so far with it ... The best one out there yet",-1
The pods are a bit loose,-1
"The sound output is super amazing, it last long and charges 0% - 100% pretty damn fast.",-1
It came in fast and it's working well.,-1
"The delivery was fast, it was well packaged and the sound quality and battery life is a blast...",-1
Fantastic battery life. Amazing sound quality,-1
It was very nice,-1
I love everything about it,-1
The battery lasts very long. Third day and I haven't charged.,-1
The sound is so cool,-1
Everything,-1
"I love the battery life and sound quality are both top-notch.
The only reservation I have on the product is that its a bit uncomfortable on the ears after prolong usage.",-1
Perfect,-1
Its user friendly,-1
"I love oraimo products. They are excellent for cheap. The freepods 3 is the best AirPods I ever used including the more expensive one. The design including the packaging is so grand, beautiful and sleek. I fell in love with the sound the first day I put it on and I can say I don’t regret the money and my patience in waiting for it to be delivered. However, I find it very difficult to wear it for long as it is really painful to my ears. 
Apart from that I give it a five stars. 
Thank you oraimo for these wonderful products.",-1
It’s portable and easy to use,-1
Works just fine. They have must thought to correcting mistake touch. All they need to do is to improve the microphone range,-1
Magnificent,-1
"I've read and watched videos on this product, and I got exactly what I expected.
As a budget accessory, it's worth it",-1
Wonderful and fantastic product affordable and modernized,-1
"It serves the purpose 100%. 
I am mostly on the road so I needed a device which I need to charge just once a day n with crystal clear calls. Orimo gave me that at a very good price. Its worth every penny!!!",-1
Very cool sound and good battery life. My only problem with this product is how the black flap keeps plucking in my ears each time I take thee earpods off.,-1
Brings out every sound,-1
Works well with music but keeps cracking and breaking on phone calls. Not a great product despite having a great brand ambassador.,-1
Nice product,-1
Sharp  piece,-1
This product is beyond my expectations. This is world class mehn. Big Ups ORAIMO !!!,-1
"Okay...I'll give it a 5 stars
A week after receiving my Oraimo freepod 3.. I've had no reason to worry....long lasting battery, bass quality top notch.... Fits perfectly in my ears without any sort of pain...doesn't fall off...no regrets spending 13k+ on this",-1
Very nice and cool product,-1
It's looks really good and feels really premium. Worth it.,-1
Worth it,-1
I love the sound quality and Battery life,-1
My client love it and was very happy,-1
"This cheaper and Original, Thanks Jumia",-1
Good noice cancellation and loud.,-1
Sound and design!!,-1
I love it,-1
From the advert I heard on the radio my calls are supposed to be muted to sound around me. But the noise cancellation feature applies to when I'm listening to music only. Maybe I just need to keep exploring. Nonetheless it's perfect.,-1
Practically not a good fit for small ears but the sound is great and it's got a nice bass.,-1
Very sounds n clear,-1
"Charged since it was delivered on Wednesday.
Fantastic sound experience.
A worthy buy",-1
"It's durable,battery and bass is top notch, highly recommended.",-1
"the item is very good. The packaging already gives it this premium look, the bass is mad and the sound quality both on calls and music is very superb. the earphones itself has a very good battery life but the fingerprint function isnt working well, so its difficult to pause and control music from the earphones. you also cant turn it off and on with the earphones so if it automatically turns off when not in use. you have to put it back in the case and take it out again for it to turn on. pls improve on this",-1
The battery is the best I’ve ever seen for Bluetooth AirPods…but it sometimes comes off my ear multiple times due to it being a bit too big and they’re no pouches anywhere ????,-1
Very ok,-1
"The case is unreasonably light, but sound quality is actually good. Don't be deceived by the noise canceling feature it is actually just using the pods with the rubber tips. The bass isn't bad in any way.. They are actually comfortable to wear.",-1
So far so good I'm happy with them,-1
Well its good and all even the bass is great but I'm yet to find out why whenever I turn on the hotspot the music tend to crack and this happens to all oriamo product generally,-1
I love it,-1
"What was advertised was FreePods-3. I ordered it and it was wrapped in a way I couldn't see the exact product. 
So I took it home only to go and meet FreePods-2.",-1
Really nice,-1
"The bass is awesome, the battery life is wonderful.
Oraimo is always the best…",-1
"It is cool...
Perfectly fits your eardrums with a long lasting battery.",-1
"The Quality, great. The duration, splendid.
It's a money well spent.
Again, I love it",-1
"Simply the baddest, Coolest, tightest earbuds I have ever used.
Sound clarity with just the level of bass is next to none... So long as I have experienced it",-1
"I like it, sound production perfect ????",-1
Great. No complaints so far,-1
It wasn't up to one month after I bought them sef and the battery of the right bud is dead so I can only use one now.,-1
Long lasting battery capacity,-1
Good product,-1
Good buy,-1
The Base System,-1
Oraimo free pod 3 is dope,-1
"Awesome sound,perfect fit",-1
NICE SOUND,-1
Works perfectly,-1
Very nice sound with instrument separation,-1
The bass is superb,-1
The sound quality is superb,-1
It lasts for long hours and the sound is perfect.,-1
It is serving its purpose,-1
"Good sound, good connectivity. Only complaint may be wearing comfort",-1
"I love the sound it produces, I love that it goes really well with calls but the reason I'm not giving it 5 starts is solely for the inability to move to the next music in your playlist when playing songs.",-1
Battery life,-1
Earpod sound very good with nice  bass.,-1
"Its ok, just that it keep falling out my ear",-1
Sound quality is great! Very impressive bass and sweet sound overall,-1
Sound quality,-1
"The battery life is amazing, and the bass",-1
Very good,-1
"The pro 3 is cool, nt heavy and the bass is wow with the ear bud",-1
Good sound and good battery life,-1
I love it is long last battery,-1
I was good,-1
It’s cool,-1
Very very good,-1
Just as advertised,-1
u will enjoy,-1
"Strong Battery, good sound quality. It’s underrated ????",-1
Nice order. Haven't experience any defect after some time now. Nice job,-1
It works well,-1
Best among the rest,-1
Okay and no complaints yet,-1
"This is a really nice product. The bass is crazy.
Worth every penny",-1
Very portable and great sound,-1
product exactly as described. Battery lasts longer than i imagined,-1
The product is so cool men damn!!!,-1
Satisfactory,-1
Awesome ????????????,-1
Great sound quality. High and low frequencies are well balanced here. Good battery life and good build for the price.,-1
Was basically as described.... Good product,-1
Provision or improvement for smaller ears,-1
"The earphone is a good one, but needs to be improved in design by the manufacturer to ensure it's a good fit for most and does not easily fall out, while the ear muffs are not too large and are a best fit too.
Overall, it's a fine.",-1
"Just got my item yesterday 1 Jan 2022, have been checking it’s sound quality ever since up until now I have not been disappointed hence am loving the product. Thanks Oraimo for giving us value for our money.",-1
"I love it, loud, good bass and fitting",-1
Has a very rich bass and a clean sound quality. ????????,-1
Very nice. So enjoying it,-1
I like the fact that I can use it for 3 days without worrying about charging It... That's an A+ from me to Oraimo,-1
"I hesitated buying the unit due to the cost which i though was high compared to cheaper quality models i had seen, but then - the battery life. So i went ahead.

Really, this unit cant be real. the functionality and sound quality are UNBELIEVABLE. With music i have known over the years, i now hear things in them (demons ??).

unit is worth every kobo if your 1. love music  2. love gadgets   3. Need talk for ages   4. KIS",-1
"Awesome bass ???? ???? ????????, highly recommended!",-1
Long lasting battery and Noise cancellation,-1
"Sound quality is okayish with excellent bass, environmental noise cancelling isn't as good as it thought it would've been, I had no problem making calls, no complaints with bluetooth connection through my usage so far",-1
Good quality,-1
It was do good,-1
"So lovely, nice bass",-1
Perfect,-1
Good bass and long lasting battery,-1
Superb product really love it,-1
I love it…worth the price,-1
"Omo the price is worth it oh, perfectly perfect ????I love it",-1
The bass quality and battery life is superb,-1
Sounds and last,-1
Never regret making the decision,-1
Got it for my kids and they love it.,-1
Nice and Luvly product with quick delivery,-1
It's a good quality,-1
"Battery life is awesome
And the Bass is great, but please we need a pouch for it.",-1
"Honestly exceeded my expectations. Totally recommended guys!!
Probably next on should come with a charging head.",-1
It’s in good condition and the bass is awesome,-1
Love the extra bass.,-1
The Overall Quality Performance ✌????,-1
It’s a good product. I am really enjoying it,-1
Is good,-1
Most def,-1
It’s good.,-1
The earbud meet the requirements. The bass is top-notch but the only problem is that it pains in the ear after some minutes.,-1
Best product I have had from oriamo,-1
The design is very pretty and the sound balance is awesome. I like the bass especially. Off course the battery is trusted,-1
The Pod makes real sense But the awareness mode makes no sense bcos you can barley call it quality earphone. But with the bass mode you have a good quality Pod. .So it's better to leave it at it is and use it like that on bass mode,-1
"Well ear fitting aside that
 it's ok",-1
"The sound is good and it matches the video, it doesn't lag",-1
"It sounds great, However it falls out of the ear which is quite disappointing. Another disappointing surprise is that you can't put it off or on from the airpods, you have to return it to the case. Sound quality is good and the noise canceling work well too.",-1
Exactly what I ordered,-1
"Really good. Quality sound.
Just that the rubber tips start to hurt my ears after a long while of usage, and I’m using the small size.",-1
It's just as I expected it,-1
Nice sound,-1
"I have both the freepods 2 & 3 2Baba. The Freepods 3 is a superb upgrade from the 2. 

Though the 3 lacks enough bass for music. I'm not an audiophile, but I enjoy my music, and the lack of bass it's obvious. 

The Freepods 3 shines through with it's connectivity. 

Calls are clear, and the latency is very impressive compared to Freepods 2. 

For me, Freepods 2 is a lot lighter and comfortable to wear for long periods of time. The Freepods begin to become uncomfortable after a few hours.",-1
There is a great improvement from the last edition. The comfort and sound quality is so nice.,-1
Great product,-1
"Looks smart, with a great sound",-1
"Delivered as seen 
Enjoying my music",-1
I’ve been looking for an affordable and comfortable earbud. Invested so much on different types until I found this. This output is perfect with great noise cancellation. I do wear this for hours with ease.,-1
Good product,-1
Love it,-1
Is very nice ???? am enjoying it and i will still buy another one because the product is the best amongst the best,-1
It worth the money. I guess money well spent,-1
"This is a top-class product. The bluetooth range is just as described. I could go away from my phone as far as tens of metres away, with doors closed, yet the production is steady. The bass mode is great. The call quality, even in super noisy environs, is smooth and clear.

It is absolutely worth every penny!",-1
Battery is very strong,-1
"I’m happy with it so far
Better than AirPods 2",-1
"This product is just simply amazing

Only Apple product has achieved this feat and Oraimo showed that perfection can redefined.

Amazing ????",-1
The bass is fireeee ????.. Good stuff,-1
The ear buds were perfect,-1
This product is amazing,-1
It’s okay but it’s so unfortunate that’s one of the EarPods came out of my ear and fell down on the road Nd got broken,-1
I love it ...the base and product is ok...I hope it lasts too,-1
Good battery life,-1
"It has good quality sound, plus heavy bass.",-1
Mad base.. Long lasting battery too,-1
"This pods are awesome, the battery never dies..... Excellent product glad I bought it",-1
The bass and battery capacity,-1
Awesome,-1
It’s very comfortable and of good quality,-1
"Play ,pause and next  sensors could be better 
Overall nice battery",-1
Awesome sound,-1
"I love the the sound quality, the bass , and also the battary life",-1
This product is super awesome and durable quality sound,-1
It’s really nice????,-1
"Great sound, lasts long",-1
Got it for a friend and he loves it,-1
Packaging and quality.,-1
After one week of usage the left earpod refused to charge,-1
"The product is not responding to touch when picking calls or using it to next music,and most time if am talking to someone on phone the hardly hear me well I regret buying there better product like edifier , and qcy",-1
"The sound is Superb truth be Told. But I am scared it may fall off my hear because the hold firm and assuring. Also the touch sensor hasn't been perfected, but the Output is Highly impressive for the Price",-1
"I was surprised when I saw the ad. I thought 8hrs with great sound quality was a lie. But let me tell you, this Freepods meet all the advertisement hype. It is worth spending your money on.",-1
I love it and the bass is awesome,-1
"For the first time, I enjoyed what I ordered from jumia, FreePods-3 is the best earpod with perfect sound and nice package design, infact you'll fall in love with the pack even before you open it. I strongly recommend this to any and every one. I promise you'll enjoy it.",-1
The sound is good,-1
It's just perfect,-1
It's best pod with the price,-1
The pod is heavenly. You hear every lyric and every instrument from beats clearly. I am glad I bought it.,-1
It's perfect,-1
The bass is cool and it is easier to answer calls than pod2. The only downside is that it pains the ear when it stays for long,-1
Make sense,-1
Easy function,-1
I recommend,-1
Top quality,-1
"I've been using this for about 7days and I can say that the battery is cool. However, I seem to be having some challenges with the mouthpiece when I'm making/receiving calls, as I need to repeat myself in some cases before the other person can hear me.",-1
Good product,-1
Nice product,-1
It's jst what I ordered I saw ????????,-1
It’s doesn’t feet in my ears,-1
The earbuds works perfectly and I would recommend for others to use. Just not compatible with kinda of earholes. A variety of white would be much appreciated.,-1
Unbelievable performance. Bass was like nothing before. Big upgrade from the old version,-1
Make sense,-1
The Earbuds are just super amazing..,-1
Is fine,-1
"Battery last long and great sound, I love it",-1
dope and long lasting,-1
Perfect,-1
Breathtaking,-1
Good sound but the power pack is behaving somehow. The light in the middle is very dim while others are bright,-1
More adaptable to ear not to allow frequent fall off,-1
I love it,-1
"The sound is very decent for the price point. The bass is good, vocals of artistes is clear, not as crisp as I would want it but expected for this price point. The biggest win is with calls, the receiver can hear you clearly even when your voice is low. A good buy!",-1
"The sound quality is great,apart from a small discomfort  in the ear.",-1
Best you can get,-1
Working perfectly and that battery also last,-1
"Everything about this bud is taintlessly beautiful, I pray it lasts long, so I can continue to advertise it to fam.",-1
Keep doing the good,-1
This earpiece is gives me so much value than it is actually worth. It's sound is so refined and balanced. It's a must buy for every music lover!,-1
I love it????,-1
"Awesome bass.. 
Very quick connectivity
Lasting battery",-1
durable battery and best sound its a good buy quality service from oraimo,-1
"Excellent bass, quality products",-1
"The device sometimes have difficulty of people hearing me when on calls
The left ear is now making noise as if the speaker is bad
Finally when playing music after sometimes it will be disconnecting and connecting back
U only enjoy the bass when u are in an environment where their is no noise
I only enjoyed it the first 2 weeks of purchase",-1
"Nice battery, good sound.",-1
"The Product is really good, the sound quality is nice, its sleek and portable. but the size of the eartips isn't okay, it hurts my ears despite changing the eartips to the smallest ones. I also think it should be customizable, we should be able to configure the earbuds to our taste. I personally think a double tap on the right ear should change it to the next song instead of pausing it, if I could have been able to change that, it would have been great. Great product oraimo, keep getting better!⚡",-1
The design and other things mentioned  in the ad for this product is just as described. Amazing bass and goo sound quality,-1
"ONE MONTH REVIEW...So, while the Earpods are durable and the bass is great I think they need to look into the quality of the connectivity,  says its 10m but often time behaves like 3m span. Every other  thing is good",-1
"Good product, loud and noise reduction",-1
"The Earbuds are very good, fits perfectly into both ears giving good Quality Sounds, the Voice is clear during Phone calls",-1
Very good,-1
Really great product. Bass was awesome.,-1
"Very nice, and audible",-1
Great sound. Great battery life,-1
I love welcome voice and the feel I get when listening to music and making calls,-1
I luv d bass,-1
The product was delivered intact and it's been very useful for me,-1
"Exactly what i Order, it’s very good ???????? I’m enjoying it the battery last long ????????????????",-1
Nice Bass,-1
"Have been enjoying my freepods since the Day of purchase, great sound and no issue eversince",-1
"Honestly, this product is overrate. I have a regular ear pod that  I got for 4k and there is no difference comparing both.",-1
It’s worth the buy,-1
It’s okay,-1
Nice product. Just painful to my ear.,-1
The sound and battery life is perfect,-1
Smaller muffs,-1
Good sound,-1
Very very good excellent.,-1
SOLID!,-1
Nice sound,-1
"Nice quality for the amount.
Great bass.",-1
Perfect bass... However can get painful when worn for long...,-1
It’s a good quality,-1
The bass was nice.,-1
Range and loudness,-1
It’s cool,-1
Beautiful.,-1
"Highly recommend 
????",-1
This product is superb ✈️????????,-1
Super good,-1
"Good pod with a lasting battery. Works well with my iPhone,  oraimo  really got this right. Weldone guys",-1
Awesome,-1
Working perfectly,-1
Product is topnotch ????,-1
I like the sound,-1
Very great sound,-1
"I love it, it's great!",-1
Insanely Outstanding performance. An earbud to be proud of. It's Worth every penny,-1
"It makes a lot of sense, although the noise cancellation does not work perfectly as I expected but it's still a lot better.",-1
Spot on,-1
It’s ????,-1
"I dnt think the active noise cancellation is working, as the Bluetooth doesn’t filter noise as  I thought, and mouth piece doesn’t pick sound as it shuld.",-1
The freepods-3 2baba is giving me joy... its a boom sha sha,-1
Unbelievable sound quality,-1
"Well, after some usage for a month now, the Pod 3 beats my presumption from the battery life to the sounds(beats) to the packaging and the rage it covers even the designs and clarity while making calls, and my favorite parts are the packaging, design and sounds output while the ear tips are on BUT they’re sets back which I find as a big deal and got me wondering (1) You have to manually select it to the pod during calls including incoming calls which doesn’t make it totally wireless because I have to bring out my phone (2) lately they’re breaks in transmission while usage(music) for a second or two which i find annoying at times. However the Oraimo pod 3 is a nice purchase!",-1
"Nothing, I love it so much,it went well with my phone,no issues,bass is top notch and awareness mode is great too.",-1
"The bass is something else. Very nice

The bass is something else. Very good
????",-1
Best buy,-1
This is the best earbuds I have gotten so far.. Long lasting battering life. Very sleek on the ears,-1
"The sound quality is top notch, and it's beautiful",-1
Good sound quality,-1
It's bassy sound and easy connectability,-1
Super fast delivery,-1
The battery life and the bass are very good,-1
The earbuds keeps twitching,-1
The adverts don't lie.,-1
"Great sound, cool when used for calls, long lasting battery",-1
Good sound definition overall,-1
It’s been good so far ….this is my first time using an oraimo product too so it’s good,-1
"It's perfect and all that ,but I can't sleep with it",-1
"The sound quality is 11/10. Very good. But the buds still have its faults. First of all, the silicon tips on the buds sometimes slip out but they can be swapped with smaller ones that come in the box.

Secondly, the touch sensors are a bit too sensitive , so things start happening without your intention.

Other than that , it’s still very solid.",-1
Good Product.,-1
Excellent,-1
"It's solid

It's solid",-1
Excellent,-1
Works well so far,-1
Battery lasts long and it's very convenient,-1
Very strong battery and nice sound.,-1
It is so lovely,-1
Original sound and quality,-1
It’s a very good product which worth the price,-1
Wow.... Just the Best,-1
Very well working,-1
"FreePods 3 is the best earpod I have ever used, the sound is powerful and the Package is Amazing",-1
"Nice quality, amazing sound and very good battery life. Great value for money .",-1
The second one I'm buying... Top notch quality as usual.,-1
The quality is okay,-1
The bass is ok for the price,-1
The battery life is top notch. One pod fell into water a few days after I got them. It still works like a charm.,-1
nice product,-1
D beat,-1
Best product ever,-1
Great Product. and Amazing stereo. but lack the power on functionality which i have to put it back into the case.,-1
"This is the second time am buying, but can't figure how to increase and decrease the volume",-1
